you      computer    result
-------  ----------  ---------
Scissor  Scissor     We tied.
Scissor  Rock        You lost.
Paper    Rock        You won.
Scissor  Paper       You won.
Rock     Paper       You lost.
Scissor  Paper       You won.
Scissor  Scissor     We tied.
Paper    Scissor     You lost.
Scissor  Paper       You won.
Rock     Rock        We tied.
Scissor  Scissor     We tied.
Paper    Scissor     You lost.
Paper    Paper       We tied.
Rock     Paper       You lost.
Rock     Paper       You lost.
Paper    Paper       We tied.
Scissor  Scissor     We tied.
Paper    Scissor     You lost.
Rock     Paper       You lost.
Scissor  Scissor     We tied.
Scissor  Scissor     We tied.
Rock     Rock        We tied.
Paper    Scissor     You lost.
Scissor  Paper       You won.
Scissor  Paper       You won.
Paper    Rock        You won.
Paper    Rock        You won.
Rock     Paper       You lost.
Rock     Rock        We tied.
Paper    Rock        You won.
Rock     Rock        We tied.
Paper    Scissor     You lost.
Scissor  Paper       You won.
Rock     Scissor     You won.
Paper    Scissor     You lost.
Rock     Rock        We tied.
Scissor  Paper       You won.
Rock     Scissor     You won.
Paper    Scissor     You lost.
Scissor  Paper       You won.
Rock     Paper       You lost.
Paper    Scissor     You lost.
Paper    Rock        You won.
Rock     Rock        We tied.
Scissor  Rock        You lost.
Paper    Rock        You won.
Scissor  Paper       You won.
Rock     Paper       You lost.
Rock     Scissor     You won.
Rock     Scissor     You won.
Scissor  Paper       You won.
Scissor  Scissor     We tied.
Scissor  Scissor     We tied.
Scissor  Rock        You lost.
Rock     Rock        We tied.
Rock     Paper       You lost.
Scissor  Scissor     We tied.
Rock     Scissor     You won.
Scissor  Scissor     We tied.
Paper    Paper       We tied.
Paper    Rock        You won.
Scissor  Paper       You won.
Paper    Paper       We tied.
Scissor  Paper       You won.
Scissor  Scissor     We tied.
Scissor  Paper       You won.
Rock     Rock        We tied.
Paper    Rock        You won.
Scissor  Rock        You lost.
Scissor  Scissor     We tied.
Rock     Scissor     You won.
Paper    Scissor     You lost.
Paper    Paper       We tied.
Rock     Rock        We tied.
Rock     Rock        We tied.
Scissor  Paper       You won.
Scissor  Scissor     We tied.
Rock     Scissor     You won.
Scissor  Scissor     We tied.
Scissor  Paper       You won.
Rock     Rock        We tied.
Rock     Rock        We tied.
Rock     Scissor     You won.
Paper    Paper       We tied.
Scissor  Paper       You won.
Paper    Paper       We tied.
Paper    Paper       We tied.
Rock     Paper       You lost.
Paper    Paper       We tied.
Paper    Rock        You won.
Rock     Scissor     You won.
Scissor  Rock        You lost.
Rock     Scissor     You won.
Paper    Scissor     You lost.
Scissor  Rock        You lost.
Scissor  Paper       You won.
Scissor  Scissor     We tied.
Scissor  Rock        You lost.
Scissor  Rock        You lost.
Rock     Rock        We tied.
Rock     Paper       You lost.
Paper    Paper       We tied.
Paper    Scissor     You lost.
Rock     Rock        We tied.
Paper    Rock        You won.
Paper    Rock        You won.
Rock     Scissor     You won.
Scissor  Scissor     We tied.
Paper    Scissor     You lost.
Scissor  Paper       You won.
Scissor  Paper       You won.
Scissor  Rock        You lost.
Scissor  Paper       You won.
Paper    Rock        You won.
Rock     Scissor     You won.
Rock     Rock        We tied.
Scissor  Paper       You won.
Rock     Rock        We tied.
Rock     Paper       You lost.
Paper    Paper       We tied.
Scissor  Scissor     We tied.
Scissor  Rock        You lost.
Paper    Scissor     You lost.
Paper    Paper       We tied.
Paper    Scissor     You lost.
Paper    Scissor     You lost.
Scissor  Scissor     We tied.
Scissor  Rock        You lost.
Scissor  Rock        You lost.
Paper    Rock        You won.
Scissor  Scissor     We tied.
Paper    Scissor     You lost.
Rock     Rock        We tied.
Scissor  Scissor     We tied.
Rock     Scissor     You won.
Paper    Scissor     You lost.
Scissor  Paper       You won.
Scissor  Paper       You won.
Scissor  Paper       You won.
Scissor  Rock        You lost.
Rock     Rock        We tied.
Scissor  Scissor     We tied.
Rock     Paper       You lost.
Paper    Rock        You won.
Rock     Rock        We tied.
Paper    Rock        You won.
Scissor  Paper       You won.
Paper    Scissor     You lost.
Paper    Paper       We tied.
Paper    Rock        You won.
Paper    Paper       We tied.
Rock     Scissor     You won.
Scissor  Rock        You lost.
Scissor  Scissor     We tied.
Scissor  Scissor     We tied.
Paper    Rock        You won.
Paper    Scissor     You lost.
Scissor  Paper       You won.
Rock     Rock        We tied.
Rock     Scissor     You won.
Rock     Scissor     You won.
Rock     Paper       You lost.
Scissor  Paper       You won.
Paper    Rock        You won.
Scissor  Rock        You lost.
Paper    Scissor     You lost.
Rock     Paper       You lost.
Rock     Scissor     You won.
Scissor  Paper       You won.
Scissor  Scissor     We tied.
Rock     Scissor     You won.
Rock     Paper       You lost.
Rock     Rock        We tied.
Paper    Paper       We tied.
Scissor  Scissor     We tied.
Scissor  Paper       You won.
Paper    Scissor     You lost.
Rock     Paper       You lost.
Rock     Rock        We tied.
Scissor  Paper       You won.
Rock     Scissor     You won.
Paper    Scissor     You lost.
Rock     Paper       You lost.
Rock     Rock        We tied.
Paper    Rock        You won.
Paper    Rock        You won.
Rock     Scissor     You won.
Scissor  Scissor     We tied.
Rock     Scissor     You won.
Paper    Rock        You won.
Scissor  Paper       You won.
Rock     Paper       You lost.
Rock     Scissor     You won.
Scissor  Scissor     We tied.
Paper    Scissor     You lost.
Paper    Rock        You won.
Scissor  Paper       You won.
Rock     Paper       You lost.
Rock     Paper       You lost.
Paper    Paper       We tied.
  num wins    num losses    num ties
----------  ------------  ----------
        76            58          66
